"asin","title","author"
"1627850198","The Joy of the Gospel: A Group Reading Guide to Pope Francis' Evangelii Gaudium","Bill Huebsch"
"1400280281","Twelve Extraordinary Women: How God Shaped Women of the Bible, and What He Wants to Do with You","John MacArthur"
"1621572552","Jesus on Trial: A Lawyer Affirms the Truth of the Gospel","David Limbaugh"
"1476766398","The Map of Heaven: How Science, Religion, and Ordinary People Are Proving the Afterlife","Eben Alexander M.D."
"0849948487","Before Amen: The Power of a Simple Prayer","Max Lucado"
"1438266758","Ancient Book Of Jasher: Referenced In Joshua 10:13; 2 Samuel 1:18; And 2 Timothy 3:8","Ken Johnson"
"0300172613","The Homeric Epics and the Gospel of Mark","Dennis R. MacDonald"
"0567550001","Lutheran Theology (Doing Theology)","Steven D. Paulson"
"0878083901","Perspectives on the World Christian Movement: A Reader (Perspectives)","Ralph D. Winter"
"0307745309","Going Clear: Scientology, Hollywood, and the Prison of Belief","Lawrence Wright"
"0310337674","Living Well, Spending Less: 12 Secrets of the Good Life","Ruth Soukup"
"0800794125","Unbound: A Practical Guide to Deliverance","Neal Lozano"
"0061988200","The Pastor: A Memoir","Eugene H. Peterson"
"1938983807","Behold Your Mother - A Biblical and Historical Defense of the Marian Doctrines","Tim Staples"
"1627791574","The Great Reformer: Francis and the Making of a Radical Pope","Austen Ivereigh"
"0875749445","Index of Pendle Hill Pamphlets: 1934 - 2012","Pendle Hill Publications"
"1426209878","In the Footsteps of Jesus: A Chronicle of His Life and the Origins of Christianity","Jean-Pierre Isbouts"
"0567265404","Trinity, Revelation, and Reading: A Theological Introduction to the Bible and its Interpretation","Scott R. Swain"
"1627850201","Walking in Joy with Pope Francis: 30 Days with The Joy of the Gospel (Walking With... (Twenty Third Publications))","Gwen Costello"
"1622821823","Reclaiming Catholic Social Teaching","Anthony Esolen"
"1414359934","The One Year Chronological Bible NIV","Tyndale"
"0500251959","Heavenly Bodies: Cult Treasures and Spectacular Saints from the Catacombs","Paul Koudounaris"
"1420933876","The Ninety-Five Theses, On Christian Liberty, and Address to the Christian Nobility","Martin Luther"
"1601424566","Crash the Chatterbox: Hearing God's Voice Above All Others","Steven Furtick"
"1433673096","The Insanity of Obedience: Walking with Jesus in Tough Places","Nik Ripken"
"0986044121","To Be A Christian: An Anglican Catechism","Catechesis Task Force Anglican Church in North America"
"0768440653","Understanding Your Place in God's Kingdom: Your Original Purpose for Existence","Myles Munroe"
"1455516783","I Declare: 31 Promises to Speak Over Your Life","Joel Osteen"
"0983498083","The Essential Elias Hicks","Paul Buckley"
"1426211597","National Geographic Who's Who in the Bible: Unforgettable People and Timeless Stories from Genesis to Revelation","Jean-Pierre Isbouts"
"0768404207","The Supernatural Power of a Transformed Mind Expanded Edition: Access to a Life of Miracles","Bill Johnson"
"0310282926","Tactics: A Game Plan for Discussing Your Christian Convictions","Gregory Koukl"
"1455529389","The Everyday Life Bible: The Power of God's Word for Everyday Living","Joyce Meyer"
"1466458208","Living with Conflict: A Challenge to a Peace Church","Susan Robson"
"1592767591","Surrender! The Life Changing Power of Doing God's Will","Fr Larry Richards"
"0691154813","The ""Book of Common Prayer"": A Biography (Lives of Great Religious Books)","Alan Jacobs"
"1941243134","Guide for Christian Prayer: 2015 Edition","Catholic Book Publishing Corp"
"1937913988","St. Joseph Sunday Missal and Hymnal: For 2015","Usccb"
"0758613032","Spirituality of the Cross Revised Edition","Gene Edward Veith"
"1622821769","The Little Oratory: A Beginner's Guide to Praying in the Home","David Clayton"
"143368392X","Autopsy of a Deceased Church: 12 Ways to Keep Yours Alive","Thom S. Rainer"
"158834312X","The Jefferson Bible, Smithsonian Edition: The Life and Morals of Jesus of Nazareth","Thomas Jefferson"
"1426788711","Revival Children's Leader Guide: Faith as Wesley Lived It","Adam Hamilton"
"1561011304","Is God Still an Englishman?: How We Lost Our Faith (But Found New Soul)","Cole Moreton"
"1451678568","Godwink Stories: A Devotional","SQuire Rushnell"
