id,name,university,domain,depts,field,url
20006,Gary L Baumbach,University of Iowa,uiowa.edu,Medicinal Chemistry and Molecular Pharmacology</li><li>Pharmacology and Toxicology</li><li>Toxicology</li><li>Medicinal Chemistry</li><li>Molecular Pharmacology and Toxicology</li><li>Molecular and Medical Pharmacology</li><li>Pharmacology</li><li>Medicinal Chemistry and Pharmacology</li><li>Molecular and Environmental Toxicology</li><li>Human Toxicology,"Pharmacology, Toxicology and Environmental Health",http://www.medicine.uiowa.edu/dept_primary_apr.aspx?appointment=Pathology&id=baumbach
48850,John E Bolander,University of California Davis,ucdavis.edu,"Civil Engineering</li><li>Structural Engineering</li><li>Civil, Construction and Environmental Engineering</li><li>Civil, Structural and Environmental Engineering</li><li>Environmental Engineering</li><li>Civil and Environmental Engineering</li><li>Transportation Technology and Policy</li><li>Civil and Materials Engineering</li><li>Civil Engineering(Water Resources)</li><li>Civil Engineering(Structural Engineering)",Civil and Environmental Engineering,http://faculty.engineering.ucdavis.edu/bolander/
16269,Keith R Cadwallader,University of Illinois at Urbana-Champaign,illinois.edu,"Food Science</li><li>Foods and Nutrition</li><li>Food Science and Technology</li><li>Food, Agricultural and Biological Engineering</li><li>Food Science - Environmental Toxicology</li><li>Food Science and Nutrition</li><li>Food Science and Human Nutrition",Food Science,http://fshn.illinois.edu/directory/cadwlldr
4956,Michael Freeling,University of California Berkeley,berkeley.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,http://pmb.berkeley.edu/profile/mfreeling
35586,David Francis,Ohio State University,osu.edu OR site:ohio-state.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,http://fic.osu.edu/members/directory/f/francis-david.html
50084,Bill Tomlinson,University of California Irvine,uci.edu,Information and Computer Science</li><li>Information Science</li><li>Information and Library Science</li><li>Information School</li><li>Library and Information Services</li><li>Information and Library Science: Information Science</li><li>Information Studies</li><li>Library and Information Studies</li><li>Library and Information Science</li><li>Information Resources and Library Science,Library and Information Science,http://www.ics.uci.edu/~wmt/
20867,Sheila Goins,University of Iowa,uiowa.edu,"Applied Management and Decision Sciences</li><li>Business Administration</li><li>Business</li><li>Management</li><li>Administration, Leadership and Technology</li><li>Managerial Economics and Strategy</li><li>Management and Organizations</li><li>Operations Research</li><li>Operations and Information Management</li><li>Operations Research and Financial Engineering","Business Administration, Management, and Operations",http://www.healthcare.uiowa.edu/publications/vpmavoice/2013/VPMAVoice4-1.pdf
35692,Fengyuan Yang,Ohio State University,osu.edu OR site:ohio-state.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,https://physics.osu.edu/people/yang.1006
41022,Howard Grabois,Purdue University,purdue.edu,Foreign Languages and Literatures</li><li>Modern Languages,Modern Languages,http://www.purdue.edu/uns/html3month/021125.Story.Ideas.html
21115,Adam J Bogdanove,Iowa State University,iastate.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,https://www-provost.sws.iastate.edu/isu-advance/history/past-leaders/bogdanove
10378,Elizabeth L Buckles,Cornell University,cornell.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",http://www.vet.cornell.edu/biosci/faculty/buckles/
55582,Lei Ni,University of California San Diego,ucsd.edu,"Mathematics</li><li>Mathematics, Statistics and Computer Science</li><li>Scientific Computation",Mathematics,http://math.ucsd.edu/people/faculty/Lei-Ni/
66848,Malcolm Forster,University of Wisconsin Madison,wisc.edu,Philosophy</li><li>Logic and the Methodology of Science</li><li>Philosophy (Science Studies)</li><li>Philosophy and Cognitive Science</li><li>Philosophy in Chemical Engineering</li><li>Philosophy and Economics,Philosophy,http://philosophy.wisc.edu/forster/
65596,Alexander Dressler,University of Wisconsin Madison,wisc.edu,Classics</li><li>Classical Studies</li><li>The Classics</li><li>Classical Languages and Literatures</li><li>Ancient History</li><li>Classical and Near Eastern Studies</li><li>Classics: Classical Languages and Literatures</li><li>Classics: Ancient Mediterranean World</li><li>Classical Archaeology</li><li>Classical Philology,Classics,http://www.secfac.wisc.edu/senate/Roster.asp
50768,Michael Montoya,University of California Irvine,uci.edu,"Folklore and Ethnomusicology</li><li>Cultural Anthropology</li><li>Evolutionary Anthropology</li><li>Medical Anthropology</li><li>Archaeology</li><li>Anthropology and Linguistics</li><li>Anthropology and History</li><li>Social Anthropology</li><li>Anthropology and Middle Eastern Studies</li><li>Anthropology, Archeology",Anthropology,http://faculty.sites.uci.edu/michaelmontoya/
