id,name,university,domain,depts,field,dupct
49404,Paul J Hurst,University of California Davis,ucdavis.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,1
25248,Thomas S Jayne,Michigan State University,msu.edu,"Agricultural Economics</li><li>Agricultural and Resource Economics</li><li>Agricultural and Applied Economics</li><li>Agricultural, Food and Resource Economics</li><li>Agricultural, Environmental and Development Economics</li><li>Agricultural and Consumer Economics</li><li>Agricultural, Environmental and Developmental Economics",Agricultural and Resource Economics,1
55121,Henrik W Jensen,University of California San Diego,ucsd.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,1
34894,Qingshen Gao,Northwestern University,northwestern.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",1
52917,Vassilis Angelopoulos,University of California Los Angeles,ucla.edu,"Geological Sciences</li><li>Geology</li><li>Geosciences</li><li>Earth and Planetary Science</li><li>Earth and Environmental Sciences</li><li>Earth Sciences</li><li>Soil, Water and Environmental Science</li><li>Hydrology</li><li>Geophysical Sciences</li><li>Planetary Sciences</li><li>Earth and Space Sciences</li><li>Geological and Atmospheric Sciences</li><li>Soils and Biogeochemistry",Earth Sciences,1
6298,David Solit,City University of New York,cuny.edu,"Biology</li><li>Biological Sciences</li><li>Biology: Medical Sciences, Division of</li><li>Integrative Biology</li><li>Biology, Molecular and Cellular</li><li>Biological Science</li><li>Biology, Organismic and Evolutionary</li><li>Biology </li><li>Biology: Medical Sciences</li><li>Free Radical and Radiation Biology",Biology,1
27309,Oscar C Stine,University of Maryland College Park,umd.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,1
40087,Andrew S Buckser,Purdue University,purdue.edu,"Folklore and Ethnomusicology</li><li>Cultural Anthropology</li><li>Evolutionary Anthropology</li><li>Medical Anthropology</li><li>Archaeology</li><li>Anthropology and Linguistics</li><li>Anthropology and History</li><li>Social Anthropology</li><li>Anthropology and Middle Eastern Studies</li><li>Anthropology, Archeology",Anthropology,1
48532,Francis J Mcnally,University of California Davis,ucdavis.edu,Cell and Molecular Biology</li><li>Cancer Biology</li><li>Cell and Developmental Biology</li><li>Cell Biology and Molecular Genetics</li><li>Cell Biology</li><li>Cellular and Molecular Biology</li><li>Cell and Molecular Physiology</li><li>Anatomy and Cell Biology</li><li>Developmental Biology</li><li>Cell Biology and Anatomy,Cell and Developmental Biology,1
21976,Lawrence A Johnson,Iowa State University,iastate.edu,"Food Science</li><li>Foods and Nutrition</li><li>Food Science and Technology</li><li>Food, Agricultural and Biological Engineering</li><li>Food Science - Environmental Toxicology</li><li>Food Science and Nutrition</li><li>Food Science and Human Nutrition",Food Science,1
42170,Rabindra N Mukerjea,Purdue University,purdue.edu,"Educational Studies</li><li>Education Policy and Leadership</li><li>Education, Leadership and Policy</li><li>Educational Policy and Leadership Studies</li><li>Education Leadership and Policy Analysis</li><li>Educational Policy Studies</li><li>Educational Leadership and Policy Studies</li><li>Educational Leadership and Policy</li><li>Educational Policy</li><li>Education Policy, Organization and Leadership</li><li>Educational Leadership",Educational Leadership,1
