id,name,university,domain,depts,field,dupct,url
17909,Greg H Lindsey,Indiana University Bloomington,indiana.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,http://www.indiana.edu/~bltindy/spea/employees.html
17924,Gregory Schrempp,Indiana University Bloomington,indiana.edu,"Folklore and Ethnomusicology</li><li>Cultural Anthropology</li><li>Evolutionary Anthropology</li><li>Medical Anthropology</li><li>Archaeology</li><li>Anthropology and Linguistics</li><li>Anthropology and History</li><li>Social Anthropology</li><li>Anthropology and Middle Eastern Studies</li><li>Anthropology, Archeology",Anthropology,2,http://www.indiana.edu/~folklore/people/schrempp.shtml
18011,J C F Brasdefer,Indiana University Bloomington,indiana.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,http://www.indiana.edu/~spanport/people/felix.shtml
18646,Maureen Pirog,Indiana University Bloomington,indiana.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,https://spea.indiana.edu/faculty-research/directory/profiles/faculty/full-time/pirog-maureen.html
18693,Michael Mcginnis,Indiana University Bloomington,indiana.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,https://spea.indiana.edu/faculty-research/directory/profiles/faculty/part-time/mcginnis-michael.html
18833,Patricia Wittberg,Indiana University Bloomington,indiana.edu,Communication</li><li>Communication Studies</li><li>Journalism</li><li>Mass Communications</li><li>Technology</li><li>Journalism and Mass Communication</li><li>Communication and Culture</li><li>Mass Communications and Telecommunications</li><li>Social and Cultural Analysis</li><li>Cultural Studies</li><li>Social Thought</li><li>Communication Arts and Sciences - Media and Information Studies</li><li>Communication Arts</li><li>Philanthropic Studies,Communication,2,http://www.indiana.edu/~bltindy/liba/philanthropic.html
18871,Penelope Anderson,Indiana University Bloomington,indiana.edu,Religious Studies</li><li>Religion</li><li>Divinity</li><li>Buddhist Studies</li><li>Religion and Social Ethics,Religion,1,http://www.indiana.edu/~engweb/faculty/profile_pAnderson.shtml
18882,Peter M Todd,Indiana University Bloomington,indiana.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psych.indiana.edu/faculty/pmtodd.php
19045,Robert M Nosofsky,Indiana University Bloomington,indiana.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://cogs.indiana.edu/nosofsky/
19586,Andrew D Ho,University of Iowa,uiowa.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://ir.uiowa.edu/etd/2856/
